TENERIFE,2018-12-07,Poco nuboso con intervalos de nubes altas ;tendiendo al final del día a intervalos de nubes bajas en el nordeste .,nubes
TENERIFE,2018-12-07,Probabilidad de ligera calima durante la primera mitad del día .,humedad
TENERIFE,2018-12-07,Temperaturas sin cambios o en ligero ascenso de las máximas .,temperatura
TENERIFE,2018-12-07,Viento del este moderado con intervalos de fuerte en medianías del nordeste donde no se descarta rachas localmente muy fuertes durante la madrugada y primeras horas de la mañana ;pudiendo llegar puntualmente a nivel de costa .,viento
TENERIFE,2018-12-07,El viento girará a nordeste en costas por la tarde .,viento
TENERIFE,2018-12-07,En cumbres ;del sur flojo a moderado girando a este .,viento
TENERIFE,2018-11-28,Predominio de poco nuboso en general ;salvo algunos intervalos de madrugada en el norte y por la tarde en el interior en vertientes orientadas al suroeste .,nubes
TENERIFE,2018-11-28,Temperaturas máximas en ligero ascenso y mínimas con pocos cambios .,temperatura
TENERIFE,2018-11-28,Viento flojo del este y nordeste ;algo más intenso en medianías ;y con brisas en zonas de costa .,viento
TENERIFE,2018-11-28,En el Teide ;viento flojo del sudeste .,viento
TENERIFE,2018-12-20,Cielos poco nubosos o despejados en general ;salvo algunos intervalos nubosos en zonas bajas del norte al final del día .,nubes
TENERIFE,2018-12-20,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-12-20,Viento del nordeste de flojo a moderado ;girando a componente este en medianías y zonas altas ;y siendo más intenso por la tarde en los extremos sudeste y noroeste .,viento
TENERIFE,2018-12-20,En el Teide ;viento variable flojo .,viento
TENERIFE,2018-12-20,Predominio de las brisas en la costa suroeste .,viento
TENERIFE,2018-12-12,En el norte y nordeste ;nuboso tendiendo a intervalos nubosos por la tarde .,nubes
TENERIFE,2018-12-12,En el resto de zonas ;poco nuboso o despejado ;salvo al suroeste donde crecerá nubosidad de evolución por la tarde .,nubes
TENERIFE,2018-12-12,No se descarta alguna lluvia débil y ocasional en medianías del nordeste durante la primera mitad del día .,precipitacion
TENERIFE,2018-12-12,Temperaturas sin cambios o en ligero descenso .,temperatura
TENERIFE,2018-12-12,Viento del nordeste ;más intenso en extremos sureste y noroeste .,viento
TENERIFE,2018-12-12,Brisas en costas norte y suroeste .,viento
TENERIFE,2018-11-21,Nuboso o cubierto con precipitaciones a partir de media mañana ;con probabilidad de que sean fuertes y sin descartar de que vayan acompañadas de alguna tormenta aislada .,precipitacion
TENERIFE,2018-11-21,En la vertiente norte y en el área metropolitana pueden ser persistentes durante las horas centrales del día y por la tarde .,viento
TENERIFE,2018-11-21,En la vertiente sur serán de carácter ocasional .,viento
TENERIFE,2018-11-21,Temperaturas mínimas en ligero a moderado ascenso ; máximas con pocos cambios .,temperatura
TENERIFE,2018-11-21,Viento del suroeste flojo a moderado ;que girará a norte al final .,viento
TENERIFE,2019-01-09,Poco nuboso a despejado ;alternando con intervalos de nubes altas y algún intervalo de bajas en el norte al final .,nubes
TENERIFE,2019-01-09,Temperaturas con pocos cambios .,temperatura
TENERIFE,2019-01-09,Viento del nordeste a este flojo a moderado ;mas intenso en vertiente sur ;predominando las brisas en costas norte y oeste .,viento
TENERIFE,2018-12-25,Poco nuboso o despejado salvo algún intervalo de nubes altas de madrugada .,nubes
TENERIFE,2018-12-25,Probable calima .,humedad
TENERIFE,2018-12-25,Temperaturas mínimas en ligero descenso y máximas con pocos cambios .,temperatura
TENERIFE,2018-12-25,Viento del sudeste ;algo más intenso y del sur en medianías hasta mediodía .,viento
TENERIFE,2018-12-25,Por la tarde ;viento flojo variable .,viento
TENERIFE,2018-12-25,En el Teide ;viento del sur y suroeste de moderado a fuerte ;debilitándose a lo largo del día .,viento
TENERIFE,2018-12-25,Predominio de las brisas en las costas norte y noroeste .,viento
TENERIFE,2018-12-17,Poco nuboso o despejado .,nubes
TENERIFE,2018-12-17,Baja probabilidad de calima ligera en la primera mitad del día .,humedad
TENERIFE,2018-12-17,Temperaturas sin cambios o en ligero descenso .,temperatura
TENERIFE,2018-12-17,Viento de componente este en costas y del sureste en medianías y zonas altas ;moderado disminuyendo a flojo al final .,viento
TENERIFE,2018-12-17,Brisas en costa oeste .,viento
TENERIFE,2018-11-24,Intervalos nubosos durante la madrugada ;no descartándose algún chubasco aislado en el sureste durante la madrugada ;tendiendo a poco nuboso y sin precipitaciones .,nubes
TENERIFE,2018-11-24,Temperaturas en ascenso .,temperatura
TENERIFE,2018-11-24,Viento en general flojo ;de componente norte durante la madrugada y girando a componente oeste durante la mañana ;predominando las brisas en costas .,viento
TENERIFE,2018-11-24,En cumbres centrales ;viento del noroeste con intervalos de fuerte .,viento
TENERIFE,2018-12-02,Poco nuboso o despejado en general ;con algunos intervalos nubosos por la mañana en el norte y noreste .,nubes
TENERIFE,2018-12-02,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-12-02,Viento del nordeste de flojo a moderado ;algo más intenso en el extremo sudeste durante la mañana ;y girando a componente este flojo por la tarde .,viento
TENERIFE,2019-01-06,Intervalos de nubes altas ;con predominio de los cielos despejados en la primera mitad del día .,nubes
TENERIFE,2019-01-06,Probabilidad de calima .,humedad
TENERIFE,2019-01-06,Temperaturas con pocos cambios ;salvo ligeros ascensos en las mínimas y ligeros descensos en las máximas .,temperatura
TENERIFE,2019-01-06,Viento del este a sureste moderado con intervalos de fuerte en vertientes nordeste ( área metropolitana ) y suroeste .,viento
TENERIFE,2019-01-06,Brisas en costa noroeste .,viento
TENERIFE,2018-12-01,Intervalos nubosos en el norte y este ;predominando los cielos poco nubosos en horas centrales .,nubes
TENERIFE,2018-12-01,En el resto ;poco nuboso o despejado .,nubes
TENERIFE,2018-12-01,Baja probabilidad de lloviznas en el nordeste ;sobre todo a primeras y últimas horas .,precipitacion
TENERIFE,2018-12-01,Temperaturas con pocos cambios o en ligero descenso .,temperatura
TENERIFE,2018-12-01,Viento del nordeste de flojo a moderado ;más intenso en la costa sudeste durante la segunda mitad del día .,viento
TENERIFE,2018-12-01,En el Teide ;viento flojo de componente norte girando a este al final .,viento
TENERIFE,2018-12-01,Brisas en la costa suroeste .,viento
TENERIFE,2018-11-27,Intervalos nubosos aumentando durante la mañana a nuboso y abriéndose claros a últimas horas .,nubes
TENERIFE,2018-11-27,Baja probabilidad de lluvias débiles y dispersas en el interior en horas centrales .,precipitacion
TENERIFE,2018-11-27,Temperaturas sin cambios .,temperatura
TENERIFE,2018-11-27,Viento del nordeste flojo con intervalos de moderado durante la segunda mitad del día en el norte y sudeste .,viento
TENERIFE,2018-11-27,En el Teide ;viento flojo del noroeste cambiando a sudeste al final del día .,viento
TENERIFE,2018-11-27,Brisas en costas suroeste .,viento
TENERIFE,2018-12-14,En el norte y nordeste ;intervalos nubosos que tenderán a cielos poco nubosos a partir de mediodía .,nubes
TENERIFE,2018-12-14,En el resto de zonas ;poco nuboso o despejado .,nubes
TENERIFE,2018-12-14,Baja probabilidad de lluvias débiles y ocasionales durante la madrugada en el nordeste ;más probables en medianías .,precipitacion
TENERIFE,2018-12-14,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-12-14,Viento del nordeste flojo a moderado ;con intervalos de fuerte en extremos noroeste y sureste .,viento
TENERIFE,2018-12-14,Predominio de las brisas en costas norte y oeste .,viento
TENERIFE,2019-01-13,Despejado .,nubes
TENERIFE,2019-01-13,Calima ;principalmente en la segunda mitad del día .,humedad
TENERIFE,2019-01-13,Temperaturas en ligero ascenso .,temperatura
TENERIFE,2019-01-13,Viento del este a sureste moderado con intervalos de fuerte en vertientes suroeste y nordeste ( área metropolitana ) .,viento
TENERIFE,2019-01-13,En cumbres centrales ;viento de componente sur .,viento
TENERIFE,2019-01-13,Brisas en costa norte .,viento
TENERIFE,2018-12-26,Poco nuboso o despejado en general salvo algunos intervalos de nubes altas en las horas centrales del día .,nubes
TENERIFE,2018-12-26,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-12-26,Viento de componente este de flojo a moderado .,viento
TENERIFE,2018-12-26,En el Teide ;viento de componente sur de flojo a moderado .,viento
TENERIFE,2018-12-26,Predominio de las brisas en zonas de costa .,viento
TENERIFE,2018-12-08,Intervalos de nubes bajas en el nordeste .,nubes
TENERIFE,2018-12-08,En el resto ;poco nuboso o despejado .,nubes
TENERIFE,2018-12-08,Temperaturas mínimas sin cambios o en ligero descenso y las máximas en ligero descenso .,temperatura
TENERIFE,2018-12-08,Viento flojo a moderado ;del nordeste en costas y del este a sudeste en medianías y zonas altas .,viento
TENERIFE,2018-12-08,Predomino de brisas en la vertiente oeste de la isla .,viento
TENERIFE,2018-11-22,Nuboso o cubierto con apertura de algún claro al sur por la tarde .,nubes
TENERIFE,2018-11-22,Precipitaciones que al inicio serán ocasionales .,precipitacion
TENERIFE,2018-11-22,A partir de media mañana serán más probables y frecuentes ;y existe la probabilidad de que sean localmente fuertes ;en especial en vertientes norte y este donde podrán ser persistentes .,viento
TENERIFE,2018-11-22,No se descarta que vayan acompañadas de alguna tormenta aislada y granizo .,precipitacion
TENERIFE,2018-11-22,La cota de nieve irá descendiendo desde los 2700 metros hasta los 2000 metros al final del día .,nieve
TENERIFE,2018-11-22,Temperaturas en ligero a moderado descenso ;en especial las máximas .,temperatura
TENERIFE,2018-11-22,Viento de componente norte flojo ;aumentando a moderado por la tarde .,viento
TENERIFE,2018-11-22,En cumbres centrales ;componente oeste con intervalos de fuerte .,viento
TENERIFE,2018-12-11,En el norte ;intervalos nubosos .,nubes
TENERIFE,2018-12-11,En el resto de zonas ;poco nuboso o despejado .,nubes
TENERIFE,2018-12-11,Baja probabilidad de alguna lluvia débil y ocasional en el norte al final .,precipitacion
TENERIFE,2018-12-11,Temperaturas mínimas sin cambios y máximas en ligero descenso ;más acusado en medianías del norte .,temperatura
TENERIFE,2018-12-11,Viento del nordeste flojo a moderado ;con intervalos de fuerte en el sureste principalmente por la tarde .,viento
TENERIFE,2018-12-11,Brisas en costas suroeste .,viento
TENERIFE,2018-12-11,En cumbres centrales ;viento de componente norte moderado .,viento
TENERIFE,2018-12-23,Intervalos de nubes altas ;más compactas en la segunda mitad del día .,nubes
TENERIFE,2018-12-23,Calima .,humedad
TENERIFE,2018-12-23,Temperaturas mínimas en ascenso y máximas en descenso .,temperatura
TENERIFE,2018-12-23,Viento del sureste con intervalos de fuerte en cumbres y vertientes nordeste ( incluida el área metropolitana ) y vertientes suroeste ; en medianías del nordeste las rachas podrían llegar puntualmente a costas .,viento
TENERIFE,2018-12-23,Predominio de las brisas en costas sureste y noroeste .,viento
TENERIFE,2019-03-30,Nuboso o cubierto en la primera mitad del día con probabilidad de alguna tormenta aislada ;con probables chubascos fuertes ;principalmente en el norte y área metropolitana ;tendiendo a intervalos nubosos al final del día .,precipitacion
TENERIFE,2019-03-30,Probables nevadas en cumbres centrales .,viento
TENERIFE,2019-03-30,Temperaturas con pocos cambios .,temperatura
TENERIFE,2019-03-30,Viento de componente norte flojo ;con brisas en zonas de costa .,viento
TENERIFE,2019-01-03,Poco nuboso o despejado en general ;con intervalos de nubes altas por la tarde .,nubes
TENERIFE,2019-01-03,Intervalos nubosos en zonas bajas del este a primeras y últimas horas .,nubes
TENERIFE,2019-01-03,Temperaturas sin cambios o en ligero descenso .,temperatura
TENERIFE,2019-01-03,Viento de componente este flojo a moderado ;más intenso en el extremo sur y nordeste ; en cumbres centrales ;viento de componente norte .,viento
TENERIFE,2019-01-03,Brisas en costas noroeste y oeste .,viento
TENERIFE,2018-12-18,Despejado .,nubes
TENERIFE,2018-12-18,Probabilidad de calima ligera en la primera mitad del día .,humedad
TENERIFE,2018-12-18,Temperaturas con pocos cambios .,temperatura
TENERIFE,2018-12-18,Viento variable flojo tendiendo a nordeste flojo por la tarde .,viento
TENERIFE,2018-12-18,Brisas en costa oeste .,viento
TENERIFE,2018-12-04,Despejado en general con intervalos de nubes altas .,nubes
TENERIFE,2018-12-04,Probabilidad de entrada de calima leve por la tarde .,humedad
TENERIFE,2018-12-04,Temperaturas mínimas en ascenso y máximas con pocos cambios en costas y en descenso en cumbres .,temperatura
TENERIFE,2018-12-04,Viento del este a sureste flojo a moderado ;algo más intenso en vertientes oeste ;nordeste y cumbres centrales ; predominio de las brisas en costas este y norte .,viento
provincia,fecha,frase,clase
MADRID,2018-11-30,Nuboso al principio sin descartar alguna precipitación en el este ;quedando de madrugada en la Sierra intervalos de nubosidad baja con probables brumas o bancos de niebla matinales y poco nuboso en el resto ;tendiendo por la tarde a despejado en toda la comunidad .,nubes-precipitacion
MADRID,2018-11-30,Temperaturas en descenso en la Sierra ; en el resto ;mínimas en ascenso y máximas sin cambios o en descenso ; las mínimas se alcanzarán al final del día .,temperatura
MADRID,2018-11-30,Heladas débiles en la Sierra ;más intensas en cotas altas .,temperatura
MADRID,2018-11-30,Viento flojo del oeste y noroeste .,viento
MADRID,2018-12-03,En la Sierra ;poco nuboso con intervalos de nubes altas .,nubes
MADRID,2018-12-03,En el resto ;nuboso de nubes bajas con brumas y bancos de niebla matinales tendiendo a poco nuboso con intervalos de nubes altas en la segunda mitad del día .,nubes
MADRID,2018-12-03,Temperaturas mínimas sin cambios o en ligero ascenso y máximas sin cambios en la Sierra y en descenso en el resto .,temperatura
MADRID,2018-12-03,Vientos flojos variables tendiendo al final a nordeste .,viento
MADRID,2018-11-25,Nuboso o cubierto con lluvias débiles y chubascos ocasionales ;más probables en la Sierra y en el sur .,precipitacion
MADRID,2018-11-25,Cota de nieve por encima de 1800 metros .,nieve
MADRID,2018-11-25,Temperaturas en aumento siendo más acusado el de las mínimas .,temperatura
MADRID,2018-11-25,Viento del suroeste flojo con intervalos más intensos en las horas centrales .,viento
MADRID,2018-12-16,Nuboso o cubierto ;con lluvias y chubascos hasta el mediodía ;disminuyendo después la nubosidad a intervalos .,precipitacion
MADRID,2018-12-16,Las precipitaciones serán en forma de nieve en el entorno de Navacerrada en torno a 1800 a 1200 metros ;disminuyendo la cota a 1300 - 1600 metros .,nieve
MADRID,2018-12-16,Temperaturas en aumento ;excepto las máximas en las cotas más altas de la Sierra que disminuirán ;con mínimas al final del día .,temperatura
MADRID,2018-12-16,Heladas débiles y dispersas en la Sierra norte .,temperatura
MADRID,2018-12-16,Viento del suroeste flojo ;girando a oeste por la tarde en el extremo sur de Comunidad y con intervalos de noroeste fuerte en zonas altas de la Sierra donde no se descarta alguna racha muy fuerte .,viento
MADRID,2019-01-11,Poco nuboso o despejado .,nubes
MADRID,2019-01-11,Temperaturas sin cambios o en ligero descenso .,temperatura
MADRID,2019-01-11,Heladas generalizadas ;más intensas en zonas altas de la Sierra .,temperatura
MADRID,2019-01-11,Viento flojo del norte y noreste .,viento
MADRID,2018-12-24,Intervalos de nubes bajas a primera horas en el centro y sur con brumas y bancos de niebla matinales ;que serán más densas y persistentes durante la mañana en el valle del Tajo ;tendiendo a partir de las horas centrales del día a poco nuboso ; en el área de la Sierra ;poco nuboso con intervalos de nubes altas .,nubes
MADRID,2018-12-24,Temperaturas mínimas en descenso en el sur y sin cambios en el norte ; máximas en aumento .,temperatura
MADRID,2018-12-24,Viento flojo variable .,viento
MADRID,2018-12-24,Viento flojo variable o en calma .,viento
MADRID,2018-11-20,Predominio de cielos nubosos ;abriéndose claros durante la tarde .,nubes
MADRID,2018-11-20,Precipitaciones generalizadas en la primera mitad del día ;más intensas en la Sierra ;tendiendo a ocasionales por la tarde .,precipitacion
MADRID,2018-11-20,Cota de nieve entre 1600 y 1800 metros bajando por la tarde hasta 1400 metros .,nieve
MADRID,2018-11-20,Brumas más probables en el suroeste .,humedad
MADRID,2018-11-20,Temperaturas que se mantienen con cambios ligeros ;sólo con descensos locales .,temperatura
MADRID,2018-11-20,Viento del suroeste flojo arreciando durante las horas centrales .,viento
MADRID,2018-12-13,Cubierto con lluvias y chubascos ;tendiendo a nuboso a partir de mediodía y remitiendo las precipitaciones .,precipitacion
MADRID,2018-12-13,Cota de nieve en torno a 1100 metros a partir de la mañana .,nieve
MADRID,2018-12-13,Probables nieblas en zonas altas y medias de la sierra .,humedad
MADRID,2018-12-13,Temperaturas mínimas en ligero ascenso algo más acusado en el centro de la comunidad y máximas en descenso en la Sierra y con pocos cambios en el resto .,temperatura
MADRID,2018-12-13,Las mínimas se alcanzarán al final del día .,temperatura
MADRID,2018-12-13,Viento de componente oeste con rachas muy fuertes en puntos altos de la Sierra .,viento
MADRID,2019-01-08,Predominio de cielos despejados aumentando la nubosidad alta durante la tarde .,nubes
MADRID,2019-01-08,Temperaturas mínimas en descenso en el valle del Tajo y con pocos cambios en el resto .,temperatura
MADRID,2019-01-08,Temperaturas máximas en descenso ;menos acusado en la Sierra .,temperatura
MADRID,2019-01-08,Heladas débiles generalizadas ;menos probables en el oeste de la Sierra y más intensas en los valles del Lozoya ;del Tajo y del Henares .,temperatura
MADRID,2019-01-08,Vientos flojos variables tendiendo a componente norte por la tarde .,viento
MADRID,2018-12-21,Predominio de intervalos nubosos de tipo bajo ;aunque a primeras horas estará nuboso y durante el día con tendencia a irse abriendo claros ; en zonas altas de la Sierra la nubosidad será escasa .,nubes
MADRID,2018-12-21,Probables brumas y bancos de niebla que podrían ser persistentes por la mañana en gran parte de la comunidad .,humedad
MADRID,2018-12-21,Temperaturas sin cambios importantes ;salvo un ligero descenso de las máximas ;en general ;sin embargo en la Sierra las máximas suben .,temperatura
MADRID,2018-12-21,Heladas débiles en cotas altas de la Sierra .,temperatura
MADRID,2018-12-21,Viento flojo variable .,viento
MADRID,2018-11-29,Poco nuboso o despejado con intervalos de nubes altas aumentando a cubierto por la tarde ;con lluvias débiles y chubascos de oeste a este ;más intensos en la Sierra .,nubes
MADRID,2018-11-29,Temperaturas mínimas con pocos cambios ; máximas en descenso en la Sierra y sin cambios en el resto .,temperatura
MADRID,2018-11-29,Heladas débiles y dispersas en el sureste .,temperatura
MADRID,2018-11-29,Viento flojo del este y nordeste rolando por la tarde a suroeste .,viento
MADRID,2018-12-28,Poco nuboso o despejado con nubes bajas y bancos de niebla matinales en las vegas del Tajo y Tajuña .,nubes
MADRID,2018-12-28,Temperaturas sin cambios significativos ;salvo las máximas en la Sierra donde descenderán ligeramente .,temperatura
MADRID,2018-12-28,Viento flojo variable predominando el nordeste a partir del mediodía .,viento
MADRID,2018-12-06,Predominio de cielo despejado o con algún intervalo de nubes altas ;con probables brumas ;bancos de niebla y estratos bajos matinales en los valles del sureste y extremo sur .,nubes
MADRID,2018-12-06,Temperaturas con pocos cambios predominando los descensos .,temperatura
MADRID,2018-12-06,Vientos flojos variables .,viento
MADRID,2018-12-05,Predominio de poco nuboso con algún intervalo de nubes altas ;con probables brumas ;bancos de niebla y estratos bajos matinales principalmente en los valles del Tajo ;Tajuña y Jarama .,nubes
MADRID,2018-12-05,Temperaturas en ligero ascenso .,temperatura
MADRID,2018-12-05,Viento flojo variable,viento
MADRID,2018-12-19,Nuboso o cubierto con lluvias débiles o chubascos de madrugada ;más probables e intensas en el sureste y Somosierra ;y con probables brumas ;disminuyendo por la mañana a poco nuboso con algunos intervalos ; por la tarde los intervalos serán más abundantes en la Sierra y ;en el resto de la comunidad ;serán de nubes altas .,precipitacion
MADRID,2018-12-19,Cota de nieve en torno a 1400 - 1600 metros .,nieve
MADRID,2018-12-19,Temperaturas mínimas sin cambios en la Sierra y en ascenso en el resto ;alcanzándose al final del día ;salvo en la Sierra ; máximas en ascenso en el área de la Sierra y sin cambios en el resto .,temperatura
MADRID,2018-12-19,Heladas débiles en el área de la Sierra .,temperatura
MADRID,2018-12-19,Vientos flojos del oeste y suroeste .,viento
MADRID,2018-12-22,Intervalos de nubes bajas por la mañana ;tendiendo a abrirse claros en las horas centrales ;quedando por la tarde cielos poco nuboso con intervalos de nubes altas .,nubes
MADRID,2018-12-22,Nieblas matinales que podrán ser localmente persistentes .,humedad
MADRID,2018-12-22,Temperaturas en ligero aumento en la Sierra y con pocos cambios en el resto .,temperatura
MADRID,2018-12-22,Viento flojo variable .,viento
MADRID,2018-12-10,Poco nuboso con intervalos de nubes altas desde el mediodía sin descartar brumas y bancos de nieblas matinales en el sur y sureste de la Comunidad .,nubes
MADRID,2018-12-10,Temperaturas con pocos cambios o con descensos locales de las máximas .,temperatura
MADRID,2018-12-10,No se descarta alguna helada débil y aislada .,precipitacion
MADRID,2018-12-10,Vientos flojos variables predominando la componente norte por la mañana .,viento
MADRID,2018-11-23,Muy nuboso o cubierto tendiendo a poco nuboso por la mañana .,nubes
MADRID,2018-11-23,Lluvias y chubascos durante la primera mitad del día ;con cotas de nieve de 1600 - 1800 metros disminuyendo de madrugada a 1400 - 1600 metros .,nieve
MADRID,2018-11-23,Probables brumas y bancos de niebla matinales .,humedad
MADRID,2018-11-23,Temperaturas mínimas en ligero descenso ;máximas sin cambios significativos .,temperatura
MADRID,2018-11-23,Heladas débiles en la Sierra .,temperatura
MADRID,2018-11-23,Viento flojo del suroeste .,viento
MADRID,2018-12-27,Intervalos de nubes medias y altas durante la mañana ;y poco nuboso o despejado el resto del día ;con formación nocturna en las vegas de Tajo y Tajuña de estratos bajos y bancos de niebla que se disiparán durante la mañana .,nubes
MADRID,2018-12-27,Temperaturas con pocos cambios .,temperatura
MADRID,2018-12-27,Heladas débiles localmente en zonas bajas .,temperatura
MADRID,2018-12-27,Viento flojo variable o en calma .,viento
MADRID,2018-12-09,Poco nuboso o despejado con intervalos de nubes altas y nubes bajas ;brumas y bancos de niebla matinales en el sur y sureste de la Comunidad .,nubes
MADRID,2018-12-09,Temperaturas mínimas en descenso .,temperatura
MADRID,2018-12-09,Temperaturas máximas en aumento .,temperatura
MADRID,2018-12-09,Vientos flojos variables .,viento
MADRID,2018-12-15,Poco nuboso con nubes altas ;aumentando a nuboso o cubierto a partir del mediodía ;con probabilidad baja de lluvias débiles en la sierra al final del día .,nubes
MADRID,2018-12-15,Temperaturas en ascenso en la Sierra ;notable en las máximas ; en el resto ;mínimas en ligero descenso y máximas con pocos cambios .,temperatura
MADRID,2018-12-15,Heladas débiles en la mitad oriental .,temperatura
MADRID,2018-12-15,Vientos flojos ;de dirección variable tendiendo a suroeste .,viento
MADRID,2018-11-26,Nuboso al principio ;con precipitaciones débiles en la Sierra y en el extremo este ;tendiendo por la mañana a intervalos nubosos y por la tarde a poco nuboso o despejado .,nubes
MADRID,2018-11-26,Lluvias débiles y chubascos ocasionales de madrugada .,precipitacion
MADRID,2018-11-26,Cota de nieve en torno a 1400 - 1600 metros descendiendo hasta 1200 - 1400 metros .,nieve
MADRID,2018-11-26,Temperaturas en descenso con mínimas que se darán al final del día .,temperatura
MADRID,2018-11-26,Heladas débiles en zonas de montaña .,temperatura
MADRID,2018-11-26,Viento del suroeste flojo arreciando por la mañana a viento del noroeste con probables rachas muy fuertes en la Sierra .,viento
MADRID,2019-01-07,Despejado .,nubes
MADRID,2019-01-07,Temperaturas mínimas sin cambios o en ligero aumento y máximas sin cambios .,temperatura
MADRID,2019-01-07,Heladas débiles generalizadas que serán más acusadas en los valles .,temperatura
MADRID,2019-01-07,Viento de norte y nordeste flojo .,viento
MADRID,2018-12-29,Poco nuboso o despejado ;salvo intervalos de nubes bajas al principio en zonas altas de la Sierra .,nubes
MADRID,2018-12-29,No se descartan brumas matinales en las vegas del sur .,humedad
MADRID,2018-12-29,Heladas débiles en la Sierra ;siendo localmente más intensas en zonas altas .,temperatura
MADRID,2018-12-29,Temperaturas mínimas sin cambios en la Sierra y en ascenso en el resto ; máximas sin cambios significativos .,temperatura
MADRID,2018-12-29,Viento flojo del nordeste .,viento
MADRID,2018-12-07,Despejado con probables estratos bajos ;brumas y bancos de niebla matinales en los valles del extremo sur ;e intervalos de nubes altas a partir de la tarde .,nubes
MADRID,2018-12-07,Temperaturas con pocos cambios en la Sierra y en descenso en el resto .,temperatura
MADRID,2018-12-07,Heladas débiles en la mitad este y valles del sur .,temperatura
MADRID,2018-12-07,Vientos flojos variables .,viento
MADRID,2018-11-28,Poco nuboso con intervalos de nubes altas .,nubes
MADRID,2018-11-28,No se descartan brumas y bancos de niebla matinales en los valles del sur de la comunidad .,humedad
MADRID,2018-11-28,Temperaturas en ascenso en la Sierra y ;en el resto ;en ligero descenso las mínimas y sin cambios las máximas .,temperatura
MADRID,2018-11-28,Viento flojo variable tendiendo por la tarde a este y nordeste .,viento
MADRID,2018-12-20,Nuboso o cubierto ;tendiendo por la tarde a intervalos nubosos .,nubes
MADRID,2018-12-20,Probables precipitaciones débiles en la Sierra ;al principio .,precipitacion
MADRID,2018-12-20,Cota de nieve 1400 - 1500 metros .,nieve
MADRID,2018-12-20,Brumas y bancos de niebla matinales ;menos probables en la Sierra .,humedad
MADRID,2018-12-20,Temperaturas sin cambios importantes .,temperatura
MADRID,2018-12-20,Heladas débiles en cotas altas de la Sierra .,temperatura
MADRID,2018-12-20,Viento flojo con predominio de la componente oeste ;tendiendo a variable .,viento
MADRID,2018-12-12,Poco nuboso al principio ;salvo intervalos de nubes bajas con probables bancos de niebla y brumas matinales en el sudeste ;aumentando a cubierto .,nubes
MADRID,2018-12-12,No se descartan lluvias débiles al final .,precipitacion
MADRID,2018-12-12,Temperaturas mínimas en ligero descenso en la Sierra y en ligero ascenso en el resto ;y máximas en descenso .,temperatura
MADRID,2018-12-12,Viento flojo variable tendiendo por la tarde a suroeste .,viento
MADRID,2018-11-21,Nuboso o cubierto tendiendo a poco nuboso por la tarde .,nubes
MADRID,2018-11-21,Probables chubascos dispersos ;cesando por la tarde .,precipitacion
MADRID,2018-11-21,Cota de nieve en torno a los 1400 - 1600 metros .,nieve
MADRID,2018-11-21,Brumas en la Sierra .,humedad
MADRID,2018-11-21,Temperaturas mínimas en ligero a moderado descenso y máximas sin cambios .,temperatura
MADRID,2018-11-21,Viento del suroeste flojo con intervalos más intensos .,viento
MADRID,2019-01-09,Intervalos de nubes bajas tendiendo a poco nuboso o despejado .,nubes
MADRID,2019-01-09,No se descartan brumas y banco de niebla matinales .,humedad
MADRID,2019-01-09,Temperaturas mínimas en ligero ascenso en el este y con pocos cambios en el resto salvo en el norte de la zona de la Sierra donde descenderán ligeramente ;y máximas en descenso en la Sierra y con pocos cambios en el resto .,temperatura
MADRID,2019-01-09,Viento flojo de componente norte ;soplando con más intensidad por la tarde y en zonas altas .,viento
MADRID,2018-12-25,Poco nuboso o despejado con intervalos de nubes altas .,nubes
MADRID,2018-12-25,Temperaturas mínimas en aumento ;excepto en el suroeste de la Comunidad donde se mantendrán con pocos cambios .,temperatura
MADRID,2018-12-25,Temperaturas máximas sin cambios significativos ;excepto en el Valle del Tajo donde aumentarán .,temperatura
MADRID,2018-12-25,Viento flojo variable ;predominando la componente norte .,viento
MADRID,2018-12-17,Al principio ;nuboso o intervalos nubosos de tipo bajo en la Sierra y en el sureste de la Comunidad ;con probables brumas matinales y algún banco de niebla ;tendiendo por la tarde a cubrirse los cielos de nubes altas en toda la Comunidad .,nubes
MADRID,2018-12-17,Temperaturas en descenso .,temperatura
MADRID,2018-12-17,Heladas débiles generalizadas .,temperatura
MADRID,2018-12-17,Viento flojo de dirección variable .,viento
MADRID,2018-11-24,En la Sierra ;nuboso sin descartar lluvias débiles al final del día .,nubes
MADRID,2018-11-24,En el resto ;intervalos nubosos predominando los cielos nubosos durante las horas centrales .,nubes
MADRID,2018-11-24,No se descartan brumas y bancos de niebla matinales .,humedad
MADRID,2018-11-24,Temperaturas en ligero descenso ;con heladas débiles en cotas altas de la Sierra .,temperatura
MADRID,2018-11-24,Viento flojo variable tendiendo a suroeste .,viento
MADRID,2018-12-02,Intervalos de nubes altas ;aunque también se esperan nubes bajas al principio y al final del día ;salvo en cotas altas de la Sierra ;que irán acompañadas de brumas y bancos de niebla en el centro y sur de la Comunidad .,nubes
MADRID,2018-12-02,Temperaturas mínimas en aumento y máximas que suben en zonas altas y se mantienen sin cambios o en ligero descenso en las zonas afectadas con nieblas .,temperatura
