 Temperaturas ascenso descenso sierra,
 Heladas débiles,
 Vientos noroeste,
 Haro,
 nuboso intervalos nubes altas descartar brumas nubes bajas,
 Temperaturas ligero ascenso cambios,
 Vientos suroeste sierra flojos oeste calma valle,
 precipitaciones débiles generalizadas tendiendo horas centrales día claros remitir precipitaciones cubrirse nuevo final probables precipitaciones débiles oeste,
 Cota nieve 1800 bajando metros,
 Temperaturas cambios ligero descenso,
 Viento suroeste intervalos fuerte madrugada sureste tendiendo variables flojos,
 Haro,
 Nuboso cubierto precipitaciones débiles valle intensas montaña final mañana abrirán claros harán precipitaciones ocasionales dispersas,
 Cota nieve bajando 1200 metros,
 Temperaturas grandes cambios mínimas darán final día,
 Vientos suroeste oeste rachas sureste oeste valle,
 Intervalos nubosos nuboso resto tendiendo segunda mitad día nuboso cubierto región,
 descarta nevada débil metros,
 Temperaturas mínimas ligero descenso cambios resto máximas cambios,
 Heladas generalizadas débiles valle,
 Vientos norte noroeste intervalos fuertes,
 Intervalos nubes altas,
 Probabilidad brumas nieblas primera mitad día,
 Temperaturas mínimas cambios máximas ascenso cambios ligero descenso resto,
 Vientos flojos variables,
 Haro,
 Nuboso cubierto precipitaciones débiles generalizadas intensas sierra persistentes,
 Tienden disminuir valle tarde,
 Cota nieve metros bajando 1500,
 Temperaturas mínimas cambios máximas descenso,
 Vientos suroeste sierra sureste valle flojos general,
 Haro,
 Nuboso cubierto precipitaciones tendiendo segunda mitad día hacerse ocasionales dispersas valle,
 Cota nieve metros bajando 1000 segunda mitad día,
 Temperaturas mínimas ligero ascenso máximas descenso,
 Heladas débiles tarde noche,
 Viento flojos principio suroeste sierra sureste valle girando oeste noroeste aumentando rachas fuertes zonas altas,
 Haro,
 Nuboso,
 Temperaturas mínimas cambios ligero ascenso máximas ligero ascenso,
 Heladas,
 Vientos norte noroeste rachas fuertes,
 Intervalos nubosos abundantes descartan lloviznas dispersas,
 Probabilidad brumas bancos niebla,
 Temperaturas cambios descenso ribera media baja ascenso resto,
 Vientos suroeste sierra sureste variables valle flojos general,
 Intervalos nubes altas nubes bajas valle dan brumas bancos niebla matinales tendiendo tarde nuboso cubierto precipitaciones débiles,
 Cota nieve bajando metros final día,
 Temperaturas mínimas cambios ligero descenso máximas cambios sierra descenso resto,
 Vientos suroeste sureste flojos valle,
 Haro,
 Nuboso cubierto descartar precipitaciones débiles dispersas forma nieve partir metros,
 Temperaturas mínimas cambios ligero ascenso máximas descenso notable,
 Heladas débiles sierra,
 Vientos norte noroeste,
 Haro,
 nuboso nubosidad baja,
 Probables brumas nieblas,
 Temperaturas decenso máximas experimentarán ascenso,
 Heladas débiles,
 Vientos oeste norte flojos,
 nuboso intervalos nubes altas valle nubosidad baja probables brumas nieblas persistentes,
 Temperaturas mínimas cambios ligero ascenso máximas descenso valle cambios resto,
 Vientos suroeste variables,
 Haro,
 Nuboso probables precipitaciones débiles dispersas,
 Cota nieve 1000 1200 m subiendo 1400 1600 m,
 Temperaturas mínimas ascenso cambios resto máximas descenso ligero ascenso cambios resto,
 Heladas débiles,
 Vientos suroeste oeste noroeste,
 Haro,
 nuboso intervalos nubes bajas altas,
 Probables brumas nieblas matinales,
 Temperaturas mínimas cambios ligero descenso máximas ascenso,
 Vientos flojos variables,
 Intervalos nubes bajas brumas nieblas mañana tendiendo nuboso mediodía,
 Temperaturas ligero descenso,
 Heladas débiles,
 Vientos noroeste norte flojos,
 Haro,
 precipitaciones débiles tendiendo mañana claros desaparecer precipitaciones tarde,
 Cota nieve metros bajando 1200 mañana,
 Temperaturas mínimas ligero ascenso descenso máximas ligero descenso cambios,
 Heladas débiles sierra,
 Vientos sur sureste girando suroeste tarde,
 Haro,
 Intervalos nubes altas brumas nieblas nubes bajas valle mantenerse mañana,
 Temperaturas mínimas cambios descenso ligero máximas ligero ascenso,
 Heladas débiles sierra,
 Vientos variables tendiendo final componente norte flojos,
 nuboso aumentando intervalos nubosos segunda mitad día,
 descartan brumas nieblas matinales,
 Temperaturas cambios,
 Heladas débiles zonas altas,
 Viento oeste noroeste flojo intervalos intensidad,
 Haro,
 Nuboso probables precipitaciones débiles entorno,
 Temperaturas mínimas ligero ascenso máximas ascenso,
 Vientos suroeste sierra sureste flojos valle,
 Haro,
 Nuboso cubierto precipitaciones remitirán segunda mitad día,
 Cota nieve 1200 metros,
 Temperaturas mínimas cambios máximas descenso,
 Heladas débiles sierra,
 Viento oeste noroeste rachas fuertes,
 Haro,
 Intervalos nubes bajas tendiendo nuboso nuboso,
 Temperaturas mínimas ligero descenso cambios resto máximas descenso,
 Heladas débiles generalizadas,
 Vientos norte noroeste,
 Nuboso descartar precipitaciones débiles ocasionales principio tendiendo intervalos nubosos,
 Cota nieve metros,
 Probables brumas nieblas matinales,
 Temperaturas cambios ligero descenso,
 Heladas débiles sierra,
 Vientos norte noroeste,
 nuboso intervalos nubes bajas descartar brumas nieblas matinales,
 Aumento nubosidad tarde cielos nubosos cuibertos probables precipitaciones débiles final sierra forma nieve partir metros,
 Temperaturas cambios experimentar mínimas ligero descenso máximas ligero ascenso,
 Heladas débiles,
 Vientos oeste noroeste flojos general,
 Haro,
 Intervalos nubes altas probabilidad brumas bancos niebla matinales,
 Temperaturas mínimas cambios máximas cambios valle ligero ascenso,
 Heladas débiles sierra,
 Vientos flojos sur suroeste variables calma valle,
 Nuboso cubierto probables precipitaciones débiles principio sierra tendiendo nuboso valle,
 Cota nieve 1400 metros subiendo cotas altas,
 Probables brumas bancos niebla matinales,
 Temperaturas ascenso ligero,
 Heladas débiles cumbres,
 Vientos suroeste variables flojos,
 nuboso intervalos nubes bajas ocasionar brumas nieblas matinales aumentando nubosidad tarde,
 Temperaturas mínimas ascenso descenso máximas descenso,
 Heladas débiles sierra,
 Vientos flojos oeste noroeste mañana aumentando final fijándose suroeste soplará sureste,
 Haro,
 Nuboso cubierto probables precipitaciones débiles descartarlas remitiendo tendiendo intervalos nubosos nuboso,
 Cota nieve 1400 metros,
 Temperaturas mínimas descenso máximas ascenso notable,
 Heladas débiles sierra,
 Vientos suroeste sur flojos variables fijándose sureste,
 Haro,
 Nuboso cubierto descartar precipitaciones débiles forma nieve metros,
 Temperaturas cambios máximas descenderán,
 Heladas débiles,
 Vientos norte noroeste intervalos fuertes,
 Haro,
 nuboso nubes altas,
 nieblas valle,
 Temperaturas mínimas ligero ascenso cambios máximas descenso ribera cambios ascenso ligero resto,
 Vientos sureste variables flojos,
 Haro,
 Predominio cielos nuboso,
 descartan brumas bancos niebla,
 Temperaturas descenso,
 Heladas débiles probables valle,
 Vientos noroeste variables flojos,
 Intervalos nubosos predominando nubosidad media alta tendiendo nuboso cubierto probables precipitaciones débiles últimas horas,
 Cota nieve 1600 m. cambios ligero descenso,
 Heladas débiles,
 Vientos suroeste sierra sureste valle,
 Haro,
 nuboso interalos nubosos oeste sur,
 descartan brumas bancos niebla matinales,
 Temperaturas ascenso ligero general,
 Vientos suroeste sierra flojos variables valle,
 Haro,
 nuboso aumentando últimas horas intervalos nubosos nubes bajas,
 Temperaturas mínimas cambios ligero ascenso máximas ligero descenso,
 Heladas débiles generalizadas,
 Vientos noroeste norte,
 nuboso aumentando nuboso predominando tipo medio alto,
 descartan brumas nieblas matinales,
 Temperaturas mínimas cambios ligero descenso máximas ascenso,
 Heladas sierra débiles general,
 Vientos suroeste flojos variables,
 Haro,
 Intervalos nubes medias altas nuboso madugada,
 descartan brumas bancos niebla matinales,
 Temperaturas mínimas descenso máximas ascenso,
 Vientos oeste suroeste flojos,
 Haro,
 Nuboso tendiendo intervalos nubosos final probabilidad precipitaciones débiles dispersas alta descartar ocasional resto,
 Cota nieve 1000 1200 metros,
 Temperaturas mínimas ligero descenso máximas ligero ascenso,
 Heladas débiles,
 Vientos noroeste,
 Nuboso cubierto descartar precipitaciones débiles ocasionales,
 Cota nieve 1000 1100 metros subiendo,
 Temperaturas ligero ascenso,
 Heladas débiles,
 Vientos norte noroeste intervalo fuertes,
 Haro,
 valle nuboso nubes bajas nieblas brumas persistentes,
 nuboso intervalos nubes altas,
 Temperaturas mínimas cambios ligero descenso máximas descenso,
 Vientos flojos sur sureste,
 Haro,
 Nubes bajas nieblas principio tendiendo mañana nuboso intrevalos nubes altas,
 Temperaturas mínimas ascenso máximas descenso,
 Heladas débiles,
 Vientos noroeste flojos intensos,
 Intervalos nubosos descartar precipitaciones débiles dispersas,
 descartan brumas bancos niebla,
 Temperaturas mínimas ligero descenso máximas cambios,
 Heladas débiles sierra,
 Vientos sur sureste valle,
 Intervalos nubes altas aumentando nubosidad media tarde tendiendo nuboso final,
 descartar brumas nieblas matinales valle,
 Temperaturas mínimas cambios máximas ascenso,
 Heladas débiles sierra,
 Vientos flojos variables,
 Intervalos nubes altas,
 Probabilidad brumas nieblas nubes bajas valle,
 Temperaturas mínimas cambios ligero descenso máximas descenso valle ascenso,
 Vientos flojos componente oeste girando tarde valle componente,
 nuboso intervalos nubes altas,
 probables brumas nieblas nubes bajas matinales,
 Temperaturas mínimas descenso cambios resto máximas ascenso,
 Heladas generalizadas,
 Vientos norte noroeste,
 Haro,
 nuboso mañana probables brumas nieblas nubes bajas tendiendo segunda mitad día nuboso cubierto precipitaciones débiles noche descartarlas resto,
 Cota nieve metros bajando 1200,
 Temperaturas ascenso ligero sierra ligero descenso cambios resto,
 Heladas débiles probables valle,
 Vientos suroeste sureste resto flojos principio aumentando tarde intervalos fuerte sierra,
 nuboso intervalos nubes altas descartar nubes bajas dar brumas bancos niebla matinales,
 Temperaturas cambios máximas ligero ascenso,
 Vientos flojos sur variables resto,
